name,Calories (kcal),Carbohydrates (g),Total Sugar (g),Protein (g),Total Fat (g),Total Fiber (g),Cholesterol (mg),Vitamin B6 (mg),Vitamin A (IU),Vitamin B12 (ug),Vitamin C (mg),Vitamin D (IU),Vitamin E (IU),Vitamin K (ug),Calcium (g),Iron (mg)
rice,1.3,0.2859,0,0.0238,0.0021,0.003,0,0.0005,0,0,0,0,0,0,0.03,0.0149
spaghetti,1.57,0.3059,0.0056,0.058,0.0093,0.018,0,0.00049,0,0,0,0,0.0006,0,0.07,0.0128
fried shrimp,3.08,0.2799,0.001,0.0784,0.189,0.007,0.58,0.0006,1.09,0.0053,0,0.01,0.0252,0.047,0.29,0.0086
ice cream,2.22,0.222,0.2116,0.041,0.13,0.007,0.91,0.00048,5.89,0.005,0.008,0.29,0.0061,0.009,1.31,0.0021
doughnut,4.17,0.574,0.3192,0.045,0.199,0.022,0.57,0.00027,0.39,0.001,0.001,0,0.0021,0.098,2.13,0.0227
cookie,4.97,0.661,0,0.046,0.252,0,0,0.00017,0.04,0,0,0,0,0,0.43,0.0207
cake,3.71,0.534,0,0.053,0.151,0.016,0.58,0.00041,1.4,0.0016,0.002,0,0,0,0.6,0.0161
chocolate bar,5.18,0.6459,0.4868,0.0651,0.2599,0.01,0.11,0.0002,0.81,0.0056,0,0,0.0034,0.052,1.25,0.01
candy,3.94,0.98,0.629,0,0.002,0,0,3E-05,0,0,0,0,0,0,0.03,0.003
custard flan,1.45,0.2278,0.2315,0.0453,0.0403,0,0.9,0.00044,1.61,0.0036,0,0,0.0023,0.002,0.83,0.0038
honey,3.04,0.824,0.8212,0.003,0,0.002,0,0.00024,0,0,0.005,0,0,0,0.06,0.0042
milk,0.64,0.0465,0,0.0328,0.0366,0,0.14,0.00042,1.38,0.0036,0.015,0,0,0,1.19,0.0005
black tea,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002
sake,1.34,0.05,0,0.005,0,0,0,0,0,0,0,0,0,0,0.05,0.001
champagne,0.84,0.0216,0.0096,0.0007,0,0,0,0.0005,0,0,0,0,0,0,0.09,0.0027
red wine,0.85,0.0261,0.0062,0.0007,0,0,0,0.00057,0.02,0,0,0,0,0.004,0.08,0.0046
beer,0.43,0.0355,0,0.0046,0,0,0,0.00046,0,0.0002,0,0,0,0,0.04,0.0002
