Timestamp,What kind of food do you prefer when you are angry?,Food choice when you are bored?,What do you feel like eating when you are lonely?,Food item preferred when you are happy?,What do you like to eat when you are sad?,What do you crave for?
2/5/2020 19:58:09,Icecream,Chips/Cookies,Chips/Cookies,Pizza/Burger/Fries,Don't eat anything,Chocolates
2/5/2020 19:58:16,Chocolates,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Chocolates
2/5/2020 19:59:08,Don't eat anything,Chips/Cookies,Soda,Pizza/Burger/Fries,Don't eat anything,Chocolates
2/5/2020 19:59:24,Soda,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Icecream
2/5/2020 19:59:54,Pizza/Burger/Fries,Chips/Cookies,Icecream,Chocolates,"Eggs, protein",Pizza/Burger/Fries
2/5/2020 20:00:56,Icecream,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Chips/Cookies
2/5/2020 20:01:50,Pizza/Burger/Fries,Chips/Cookies,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 20:02:23,Icecream,Soda,Pizza/Burger/Fries,Chips/Cookies,Icecream,Soda
2/5/2020 20:03:18,Chocolates,Chips/Cookies,Chocolates,Icecream,Chocolates,Icecream
2/5/2020 20:03:31,Biscuits,Chips/Cookies,Pizza/Burger/Fries,Pizza,Icecream,Pizza/Burger/Fries
2/5/2020 20:03:46,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 20:04:11,Don't eat anything,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/5/2020 20:05:13,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/5/2020 20:06:10,Don't eat anything,Icecream,Don't eat anything,Icecream,Don't eat anything,Chips/Cookies
2/5/2020 20:08:36,Pizza/Burger/Fries,Pani puri,Chips/Cookies,Icecream,Soda,Pizza/Burger/Fries
2/5/2020 20:08:37,Don't eat anything,Icecream,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Chips/Cookies
2/5/2020 20:08:44,Pizza/Burger/Fries,Chips/Cookies,Icecream,Indian,Don't eat anything,Anything to munch on.
2/5/2020 20:09:00,Chocolates,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Don't eat anything,Icecream
2/5/2020 20:09:14,Chocolates,Pizza/Burger/Fries,Don't eat anything,Icecream,Chocolates,Icecream
2/5/2020 20:10:49,Don't eat anything,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Chocolates
2/5/2020 20:11:11,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 20:11:36,Chocolates,Chips/Cookies,Pizza/Burger/Fries,Soda,Icecream,Pizza/Burger/Fries
2/5/2020 20:12:02,Pizza/Burger/Fries,Chips/Cookies,Don't eat anything,Icecream,Don't eat anything,Pizza/Burger/Fries
2/5/2020 20:14:24,Icecream,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/5/2020 20:15:30,Pizza/Burger/Fries,Chips/Cookies,Icecream,Don't eat anything,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 20:17:05,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 20:19:07,Don't eat anything,Pizza/Burger/Fries,Any type of home made food,Home made nice item,Don't eat anything,Outing for food
2/5/2020 20:20:46,All of the above but mostly sweet,Chips/Cookies,Chips/Cookies,Pizza/Burger/Fries,Chips/Cookies,Chips/Cookies
2/5/2020 20:20:50,Soda,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Icecream
2/5/2020 20:22:52,Chocolates,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/5/2020 20:22:59,Chocolates,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/5/2020 20:24:39,Don't eat anything,Chocolates,Soda,Icecream,Chocolates,Icecream
2/5/2020 20:24:49,Pizza/Burger/Fries,Chocolates,Don't eat anything,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries
2/5/2020 20:25:07,Soda,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries
2/5/2020 20:26:07,Icecream,Chips/Cookies,Chocolates,Icecream,Chocolates,Icecream
2/5/2020 20:26:47,Don't eat anything,Soda,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Icecream
2/5/2020 20:29:14,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 20:31:07,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries,Soda,Icecream,Pizza/Burger/Fries
2/5/2020 20:35:36,Icecream,Chips/Cookies,Pizza/Burger/Fries,Don't eat anything,Soda,Icecream
2/5/2020 20:36:18,Don't eat anything,Icecream,Icecream,Icecream,Icecream,Icecream
2/5/2020 20:42:51,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/5/2020 20:43:02,Don't eat anything,Pizza/Burger/Fries,Chocolates,Icecream,Cereal with low fat milk,Pizza/Burger/Fries
2/5/2020 20:47:10,Icecream,Pizza/Burger/Fries,Cake,Soda,Chocolates,Icecream
2/5/2020 20:47:30,Don't eat anything,Pizza/Burger/Fries,Chips/Cookies,Icecream,Chocolates,Icecream
2/5/2020 20:47:31,Icecream,Pizza/Burger/Fries,Chips/Cookies,Soda,Chocolates,Pizza/Burger/Fries
2/5/2020 20:51:33,Chocolates,Don't eat anything,Icecream,Mix vegetables,Chocolates,Chips/Cookies
2/5/2020 21:04:08,Don't eat anything,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 21:06:07,Chips/Cookies,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 21:09:07,Anything ,Chips/Cookies,Anything works,Everything,Chocolates,Everything 🤤
2/5/2020 21:09:37,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Chips/Cookies
2/5/2020 21:15:09,Chocolates,Icecream,Icecream,Soda,Icecream,Pizza/Burger/Fries
2/5/2020 21:16:20,Pizza/Burger/Fries,Don't eat anything,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 21:17:17,Any thing I find. ,Chips/Cookies,Chocolates,Don't eat anything,Don't eat anything,Chocolates
2/5/2020 21:17:33,Don't eat anything,Chips/Cookies,Cup noodles,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/5/2020 21:19:00,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 21:25:05,Chocolates,Chips/Cookies,Don't eat anything,Butter chicken ,Icecream,Chocolates
2/5/2020 21:31:59,Soda,Chocolates,Icecream,Icecream,Don't eat anything,Pizza/Burger/Fries
2/5/2020 21:32:34,Icecream,Icecream,Icecream,Icecream,Icecream,Icecream
2/5/2020 21:33:04,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 21:37:22,Pizza/Burger/Fries,Chips/Cookies,Don't eat anything,Chocolates,Don't eat anything,Pizza/Burger/Fries
2/5/2020 21:51:03,Soda,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/5/2020 21:52:02,Icecream,Chips/Cookies,Pizza/Burger/Fries,Icecream,Chips/Cookies,Pizza/Burger/Fries
2/5/2020 21:55:00,Chocolates,Chocolates,Pizza/Burger/Fries,Chocolates,Chocolates,Chocolates
2/5/2020 21:55:13,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries
2/5/2020 21:55:19,Chocolates,Chips/Cookies,Chips/Cookies,Chips/Cookies,Chips/Cookies,Pizza/Burger/Fries
2/5/2020 21:55:35,Chocolates,Don't eat anything,Chips/Cookies,Icecream,Icecream,Pizza/Burger/Fries
2/5/2020 21:56:04,Soda,Pizza/Burger/Fries,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries,Don't eat anything
2/5/2020 21:56:24,Don't eat anything,"Fruits, mixtures,dry snacks",Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything,Chicken tandoori
2/5/2020 21:56:31,Don't eat anything,Chips/Cookies,Icecream,Icecream,Chocolates,Pizza/Burger/Fries
2/5/2020 21:56:45,Icecream,Pizza/Burger/Fries,Icecream,Icecream,Icecream,Icecream
2/5/2020 21:57:10,Water,Don't eat anything,Don't eat anything,Meal,Don't eat anything,Don't eat anything
2/5/2020 21:57:50,Pizza/Burger/Fries,Icecream,Chips/Cookies,Pizza/Burger/Fries,Soda,Pizza/Burger/Fries
2/5/2020 22:02:02,Chips/Cookies,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries,Icecream,Chips/Cookies
2/5/2020 22:02:22,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries,Icecream
2/5/2020 22:02:50,Icecream,Chips/Cookies,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 22:04:20,"Mwater infused with cloves,tulsi,cinnamon",Don't eat anything,Icecream,Don't eat anything,Chocolates,Icecream
2/5/2020 22:05:15,Don't eat anything,Chips/Cookies,Chocolates,Icecream,Icecream,Chips/Cookies
2/5/2020 22:05:17,Don't eat anything,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 22:05:48,Don't eat anything,Chips/Cookies,Don't eat anything,Don't eat anything,Don't eat anything,Pizza/Burger/Fries
2/5/2020 22:07:36,Pizza/Burger/Fries,Chips/Cookies,Chips/Cookies,Icecream,Chips/Cookies,Pizza/Burger/Fries
2/5/2020 22:08:22,Don't eat anything,Pizza/Burger/Fries,Pizza/Burger/Fries,Healthy food,Healthy food,Pizza/Burger/Fries
2/5/2020 22:10:51,Pizza/Burger/Fries,Don't eat anything,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/5/2020 22:12:23,Chocolates,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 22:15:05,Savoury ,Chocolates,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 22:23:08,Don't eat anything,Chips/Cookies,Chocolates,Icecream,Don't eat anything,Maa ki hath ka Khana (food cooked by mom)
2/5/2020 22:24:01,Pizza/Burger/Fries,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 22:24:20,Icecream,Soda,Icecream,Icecream,Icecream,Icecream
2/5/2020 22:26:12,Chocolates,Chocolates,Chocolates,Chocolates,Chocolates,Chocolates
2/5/2020 22:30:23,Don't eat anything,Pizza/Burger/Fries,Pizza/Burger/Fries,Buffet,Don't eat anything,Fast Food 
2/5/2020 22:31:43,Chocolates,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Chocolates,Pizza/Burger/Fries
2/5/2020 22:34:37,Pizza/Burger/Fries,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/5/2020 22:36:05,Icecream,Don't eat anything,Chips/Cookies,Pizza/Burger/Fries,Don't eat anything,Icecream
2/5/2020 22:36:45,Icecream,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/5/2020 22:39:00,Chips/Cookies,Badam,Soda,IceCream,Chocolates,Pizza/Burger/Fries
2/5/2020 22:39:52,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries
2/5/2020 22:43:28,Chocolates,Chips/Cookies,Icecream,Pizza/Burger/Fries,Chocolates,Icecream
2/5/2020 22:49:14,Don't eat anything,Pizza/Burger/Fries,Chips/Cookies,Icecream,Don't eat anything,Fruits
2/5/2020 23:01:33,Don't eat anything,Don't eat anything,Icecream,Icecream,Icecream,Don't eat anything
2/5/2020 23:06:40,Icecream,Don't eat anything,Chips/Cookies,Soda,Chocolates,Pizza/Burger/Fries
2/5/2020 23:08:57,Pizza/Burger/Fries,Chocolates,Icecream,Soda,Don't eat anything,Chocolates
2/5/2020 23:12:12,Chips/Cookies,Chocolates,Maggi,Pizza/Burger/Fries,Coffee,Golgappa
2/5/2020 23:36:15,Don't eat anything,Icecream,Icecream,Icecream,Icecream,Icecream
2/5/2020 23:06:40,Icecream,Don't eat anything,Chips/Cookies,Soda,Chocolates,Pizza/Burger/Fries
2/5/2020 23:08:57,Pizza/Burger/Fries,Chocolates,Icecream,Soda,Don't eat anything,Chocolates
2/5/2020 23:12:12,Chips/Cookies,Chocolates,Maggi,Pizza/Burger/Fries,Coffee,Golgappa
2/5/2020 23:36:15,Don't eat anything,Icecream,Icecream,Icecream,Icecream,Icecream
2/5/2020 23:06:40,Icecream,Don't eat anything,Chips/Cookies,Soda,Chocolates,Pizza/Burger/Fries
2/5/2020 23:08:57,Pizza/Burger/Fries,Chocolates,Icecream,Soda,Don't eat anything,Chocolates
2/5/2020 23:12:12,Chips/Cookies,Chocolates,Maggi,Pizza/Burger/Fries,Coffee,Golgappa
2/5/2020 23:36:15,Don't eat anything,Icecream,Icecream,Icecream,Icecream,Icecream
2/5/2020 23:44:43,Chocolates,Icecream,Chocolates,Pizza/Burger/Fries,Don't eat anything,Soda
2/6/2020 0:00:36,Don't eat anything,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Chicken nuggets
2/6/2020 0:00:49,Don't eat anything,Chocolates,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Paneer tikka
2/6/2020 0:15:38,Chips/Cookies,Chocolates,Icecream,Icecream,Don't eat anything,Chocolates
2/6/2020 0:39:20,Don't eat anything,Chocolates,Don't eat anything,Chocolates,Don't eat anything,Pizza/Burger/Fries
2/6/2020 1:11:59,Chocolates,Soda,Chips/Cookies,Pizza/Burger/Fries,Icecream,Chicken
2/6/2020 1:38:09,Icecream,Chocolates,Pizza/Burger/Fries,Chocolates,Don't eat anything,Icecream
2/6/2020 2:45:05,Don't eat anything,Chocolates,Don't eat anything,Icecream,Don't eat anything,Chocolates
2/6/2020 9:09:06,Icecream,Chips/Cookies,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Home food
2/6/2020 9:09:52,Don't eat anything,Chips/Cookies,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/6/2020 9:16:39,Don't eat anything,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 9:16:43,Don't eat anything,Icecream,Icecream,Icecream,Soda,nothing
2/6/2020 9:16:47,Don't eat anything,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/6/2020 9:17:53,Chocolates,Pizza/Burger/Fries,Chips/Cookies,Chips/Cookies,Chips/Cookies,Soda
2/6/2020 9:20:04,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/6/2020 9:20:37,Pizza/Burger/Fries,Chips/Cookies,Chocolates,Soda,Icecream,Pizza/Burger/Fries
2/6/2020 9:22:07,Don't eat anything,Fruits,Chocolates,Chocolates,Don't eat anything,Proper indian cusine
2/6/2020 9:28:30,Icecream,Chocolates,Chips/Cookies,Pizza/Burger/Fries,Soda,Pizza/Burger/Fries
2/6/2020 9:31:13,Soda,Soda,Pizza/Burger/Fries,Soda,Soda,Soda
2/6/2020 9:31:27,Don't eat anything,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Icecream
2/6/2020 9:33:17,Chocolates,Chocolates,Soda,Icecream,Don't eat anything,Icecream
2/6/2020 9:34:08,Icecream,Chocolates,Icecream,Chocolates,Icecream,Icecream
2/6/2020 9:35:17,Don't eat anything,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Chocolates
2/6/2020 9:40:23,Icecream,Pizza/Burger/Fries,Don't eat anything,Don't eat anything,Chocolates,Icecream
2/6/2020 9:40:30,Icecream,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Icecream,Chocolates
2/6/2020 9:43:18,Icecream,Chocolates,Soda,Icecream,Chocolates,Pizza/Burger/Fries
2/6/2020 9:43:44,Chocolates,Chips/Cookies,Soda,Pizza/Burger/Fries,Icecream,Only pizza
2/6/2020 9:54:47,Chocolates,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/6/2020 9:57:16,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Soda,Icecream,Pizza/Burger/Fries
2/6/2020 9:58:40,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 9:59:21,Chips/Cookies,Chocolates,Noodles,Pizza/Burger/Fries,Don't eat anything,Biryani😋
2/6/2020 10:00:39,Don't eat anything,Chips/Cookies,Pizza/Burger/Fries,Soda,Don't eat anything,Cuisine food
2/6/2020 10:01:23,Don't eat anything,Don't eat anything,Don't eat anything,Icecream,Chocolates,Chocolates
2/6/2020 10:07:17,Don't eat anything,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/6/2020 10:08:07,Pizza/Burger/Fries,Chips/Cookies,Chips/Cookies,Chips/Cookies,Chips/Cookies,Icecream
2/6/2020 10:09:05,Icecream,Chips/Cookies,Pizza/Burger/Fries,Icecream,Icecream,Icecream
2/6/2020 10:10:34,Don't eat anything,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Soda,Pizza/Burger/Fries
2/6/2020 10:11:09,Don't eat anything,Chips/Cookies,Pizza/Burger/Fries,Icecream,Chocolates,Chocolates
2/6/2020 10:11:21,Icecream,Icecream,Icecream,Icecream,Icecream,Icecream
2/6/2020 10:11:31,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 10:11:41,Chips/Cookies,Chips/Cookies,Chips/Cookies,Chips/Cookies,Chips/Cookies,Chips/Cookies
2/6/2020 10:12:14,Chips/Cookies,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/6/2020 10:12:23,Chips/Cookies,Pizza/Burger/Fries,Don't eat anything,Icecream,Chocolates,Chips/Cookies
2/6/2020 10:18:09,Pizza/Burger/Fries,Chips/Cookies,Chocolates,Chips/Cookies,Chips/Cookies,Icecream
2/6/2020 10:18:11,Chocolates,Pizza/Burger/Fries,Pizza/Burger/Fries,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries
2/6/2020 10:27:02,Chocolates,Chips/Cookies,Pizza/Burger/Fries,Icecream,Don't eat anything,Icecream
2/6/2020 10:29:43,Chocolates,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 10:29:45,Don't eat anything,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Chocolates,Chocolates
2/6/2020 10:33:56,Soda,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries,Icecream,Don't eat anything
2/6/2020 10:46:44,Soda,Pizza/Burger/Fries,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 10:48:08,You,You,You,You,You,You
2/6/2020 11:05:51,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 11:06:25,Icecream,Pizza/Burger/Fries,Chips/Cookies,Proper meal,Chocolates,A good creative dish(unique flavour)
2/6/2020 11:34:57,Chips/Cookies,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/6/2020 11:36:49,Don't eat anything,Don't eat anything,Don't eat anything,Don't eat anything,Don't eat anything,Bedai puri
2/6/2020 11:55:02,Don't eat anything,Pizza/Burger/Fries,Pizza/Burger/Fries,Chocolates,Icecream,Pizza/Burger/Fries
2/6/2020 11:58:13,Pizza/Burger/Fries,Icecream,Chocolates,Pizza/Burger/Fries,Icecream,All of the above
2/6/2020 11:59:26,Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything,Icecream,Don't eat anything,Pizza/Burger/Fries
2/6/2020 12:05:08,Soda,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries,Don't eat anything,Icecream
2/6/2020 12:18:36,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 13:02:27,Chocolates,Icecream,Chips/Cookies,Soda,Icecream,Pizza/Burger/Fries
2/6/2020 13:05:09,Icecream,Chips/Cookies,Multiple things,Don't eat anything,Chocolates,Pizza/Burger/Fries
2/6/2020 13:05:29,Icecream,Chips/Cookies,Multiple things,Don't eat anything,Chocolates,Pizza/Burger/Fries
2/6/2020 13:11:08,Chocolates,Pizza/Burger/Fries,Chips/Cookies,Icecream,Pizza/Burger/Fries,Chocolates
2/6/2020 13:45:09,Soda,Pizza/Burger/Fries,Icecream,Don't eat anything,Don't eat anything,Soda
2/6/2020 14:16:10,Chocolates,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Soda,Pizza/Burger/Fries
2/6/2020 15:12:42,Don't eat anything,Chocolates,Chocolates,Chocolates,Chocolates,Chocolates
2/6/2020 15:13:13,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/6/2020 16:03:15,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Chocolates,Chocolates
2/6/2020 16:04:23,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Icecream,Chocolates
2/6/2020 17:07:14,Don't eat anything,Chips/Cookies,Pizza/Burger/Fries,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/6/2020 17:59:13,Don't eat anything,Chocolates,Chocolates,Pizza/Burger/Fries,Don't eat anything,Icecream
2/6/2020 18:13:00,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
2/6/2020 18:57:49,Don't eat anything,Icecream,Icecream,Icecream,Chocolates,Icecream
2/6/2020 19:03:44,Don't eat anything,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries,Chocolates,Pizza/Burger/Fries
2/6/2020 19:51:13,Icecream,Chips/Cookies,Icecream,Icecream,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:41:20,Soda,Chips/Cookies,Chocolates,Icecream,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:42:03,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Don't eat anything,Home food
2/5/2020 19:49:13,Chocolates,Chips/Cookies,Soda,Icecream,Don't eat anything,Chocolates
2/5/2020 19:49:27,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Chips/Cookies
2/5/2020 19:49:28,Soda,Chips/Cookies,Chocolates,Icecream,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:49:39,Chocolates,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 19:49:41,Chocolates,Chips/Cookies,Icecream,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:50:24,Don't eat anything,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything,Icecream
2/5/2020 19:50:27,Icecream,Pizza/Burger/Fries,Chocolates,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries
